,시군명,식당,식당_영문명,최후의음식,위도,경도
2447,의정부시,홍콩반점 0410,baegjewon-yagdaejeom,"짜장면, 짬뽕",37.7453988,127.0964299
2448,의정부시,웰빙 전주콩나물 해장국,welbing jeonjukongnamul haejang-gug,0,37.7524001,127.0684341
2449,의정부시,고산떡갈비,gosantteoggalbi,떡갈비,37.742211,127.0477649
2450,의정부시,청해수산회천국,cheonghaesusanhoecheongug,0,37.7332136,127.0385706
2451,의정부시,보영식당,boyeongsigdang,0,37.7442374,127.0496835
2452,의정부시,원조마산아구찜,wonjomasan-agujjim,0,37.7325735,127.0398522
2453,의정부시,스파게티하우스차오,seupagetihauseuchao,피자,37.7401566,127.0484557
2454,의정부시,황제해물선,haelang,0,37.7308455,127.0581262
2455,의정부시,백고식당,baeggosigdang,떡갈비,37.7422914,127.0494554
2456,의정부시,온돌방한정식,ondolbanghanjeongsig,0,37.73671,127.036292
2457,의정부시,영의정,chaesang-gung(gwangmyeongjeom),제육볶음,37.7376544,127.0415111
2458,의정부시,어도일식횟집,eodoilsighoesjib,0,37.75176,127.0692051
2459,의정부시,금오식당,geum-osigdang,0,37.7529874,127.0654616
2460,의정부시,경원식당,gyeong-wonsigdang,0,37.7442104,127.0495701
2461,의정부시,해촌 샤브 칼국수,beolgyokkomagjeongsignamdohyang,0,37.7371786,127.0359859
2462,의정부시,장수민촌,jangsuminchon,삼계탕,37.7379626,127.089035
2463,의정부시,(주)낙원부페 스카이,(ju)nag-wonbupe seukai,0,37.73851,127.0424645
2464,의정부시,우래 명품한우,ulae myeongpumhan-u,삼겹살,37.7368449,127.0369614
2465,의정부시,의정부명물찌개본점,uijeongbumyeongmuljjigaebonjeom,0,37.7446791,127.0492413
2466,의정부시,화사랑 아사도,hwasalang asado,갈비구이,37.7331223,127.0422688
2467,의정부시,지호한방삼계탕,jihohanbangsamgyetang,삼계탕,37.7337885,127.0436872
2468,의정부시,(주)꽃우물숯불갈비 본관,(ju)kkoch-umulsuchbulgalbi bongwan,갈비구이,37.7522886,127.1195299
2469,의정부시,전주콩나물국밥,jeonjukongnamulgugbab,0,37.7491763,127.0452047
2470,의정부시,홍천사랑말 한우식당 의정부점,hongcheonsalangmal han-usigdang uijeongbujeom,갈비구이,37.7456805,127.0455204
2471,의정부시,오부,obu,0,37.7334829,127.0416564
2472,의정부시,영빈해물탕,yeongbinhaemultang,0,37.7334026,127.0390472
2473,의정부시,한양식당,han-yangsigdang,0,37.7440392,127.0495926
2474,의정부시,5형제특허손짜장마을,5hyeongjeteugheosonjjajangma-eul,"짜장면, 짬뽕",37.735514,127.0722877
2475,의정부시,예향재,yehyangjae,제육볶음,37.7622036,127.0467329
2476,의정부시,양주식당,yangjusigdang,0,37.7444538,127.0493433
2477,의정부시,해품닭,haepumdalg,닭갈비,37.7417329,127.0494323
2478,의정부시,황금복집,hwang-geumbogjib,0,37.7480385,127.0518758
2479,의정부시,신선설농탕,sinseonseolnongtang,곰탕_설렁탕,37.7488493,127.0702918
2480,의정부시,로타리 잠실감자탕·쭈꾸미 삼겹살,lotali jamsilgamjatang·jjukkumi samgyeobsal,감자탕,37.7370953,127.0429629
2481,의정부시,닭이봉원조춘천닭갈비,dalg-ibong-wonjochuncheondalg-galbi,닭갈비,37.7335182,127.0437097
2482,의정부시,항도일식,hangdoilsig,0,37.7371783,127.0367914
2483,의정부시,속풀청,sogpulcheong,0,37.735681,127.0422702
2484,의정부시,무봉리토종순대국,mubonglitojongsundaegug,0,37.732511,127.037901
2485,의정부시,춘하추동,chunhachudong,갈비구이,37.739653,127.0934843
2486,의정부시,육대장,yugdaejang,0,37.7326269,127.0420757
2487,이천시,장수촌,jangsuchon,삼계탕,37.1146592,127.6130111
2488,이천시,오대양횟집,odaeyanghoesjib,0,37.2798556,127.4416553
2489,이천시,조읍한식뷔페,jo-eubhansigbwipe,0,37.3222363,127.4729609
2490,이천시,이천삼계탕,icheonsamgyetang,삼계탕,37.2797165,127.4427144
2491,이천시,동신참치이천점. 동신일식,dongsinchamchiicheonjeom. dongsin-ilsig,0,37.2748264,127.4492705
2492,이천시,바우갈비,baugalbi,갈비구이,37.115299,127.6234236
2493,이천시,동래곱창,donglaegobchang,0,37.279554,127.4476296
2494,이천시,"바다향기해물탕,찜","badahyang-gihaemultang,jjim",0,37.2806317,127.4413215
2495,이천시,이천 버드나무집,icheon beodeunamujib,갈비구이,37.2579934,127.4842622
2496,이천시,토사랑,tosalang,삼계탕,37.2893238,127.4516567
2497,이천시,스시야,seusiya,0,37.2762453,127.4481288
2498,이천시,청솔칡냉면,cheongsolchilgnaengmyeon,"물냉면, 비빔냉면",37.1309035,127.6044763
2499,이천시,도드람한마당,dodeulamhanmadang,삼겹살,37.2897401,127.4511855
2500,이천시,황금뜰쌀밥한정식,hwang-geumtteulssalbabhanjeongsig,0,37.2456367,127.4186339
2501,이천시,조가네 갑오징어,jogane gab-ojing-eo,0,37.2537735,127.4894317
